OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding Status,Geocoding Query
1861,PETRO STOPPING CENTER #315,"I-40, EXIT 66",Kingman,AZ,910,3.899,35.1895921,-114.0532996,success,"PETRO STOPPING CENTER #315, Kingman, AZ, USA"
1866,PRI MART FUEL CENTER,"I-94, EXIT 29",Benton Harbor,MI,465,3.799,42.1167065,-86.4541894,success,"PRI MART FUEL CENTER, Benton Harbor, MI, USA"
1873,JDS TRUCKSTOP,"US-12 & US-31, EXIT 3",Niles,MI,465,3.749,41.8060585,-86.320775,success,"JDS TRUCKSTOP, Niles, MI, USA"
1874,CIRCLE K #2744529,US-175,Seagoville,TX,630,2.95066666,32.6447916,-96.5418608,success,"CIRCLE K #2744529, Seagoville, TX, USA"
1879,HOLIDAY STATIONSTORE #3552,"I-35, EXIT 81 & SR-70",Lakeville,MN,448,3.549,44.650051,-93.2432791,success,"HOLIDAY STATIONSTORE #3552, Lakeville, MN, USA"
1888,STRIPES 7FLEET #42449,US-87,Sterling City,TX,710,3.28066666,31.8394025,-100.9760105,success,"STRIPES 7FLEET #42449, Sterling City, TX, USA"
1889,TOOT N TOTUM #105,US-54 & US-287,Stratford,TX,585,2.96566666,36.3320474,-102.074001,success,"TOOT N TOTUM #105, Stratford, TX, USA"
1893,MIKE MCDONALD TRUCK STOP,"I-20, EXIT 509",Terrell,TX,637,2.87066666,32.7359626,-96.2752569,success,"MIKE MCDONALD TRUCK STOP, Terrell, TX, USA"
1894,CIRCLE K #2741544,"I-37 & SR-72, EXIT 69",Three Rivers,TX,747,3.06566666,28.4598545,-98.1820732,success,"CIRCLE K #2741544, Three Rivers, TX, USA"
1897,YESWAY #1077,"I-20/US-84, EXIT 278",Tye,TX,575,2.87566666,32.4585482,-99.8560056,success,"YESWAY #1077, Tye, TX, USA"
1905,LUCKY TRUCK STOP,US-82,Whitesboro,TX,630,2.88566666,33.6558015,-96.9068601,success,"LUCKY TRUCK STOP, Whitesboro, TX, USA"
1909,RALLYSTOP #1,"I-15, EXIT 62",Cedar City,UT,791,3.459,37.677822,-113.066048,success,"RALLYSTOP #1, Cedar City, UT, USA"
1914,LOVES TRAVEL STOP #792,"I-70, EXIT 160",Green River,UT,835,3.709,38.9951635,-110.1846557,success,"LOVES TRAVEL STOP #792, Green River, UT, USA"
1921,BELL TRUCK STOP,"I-80, EXIT 146",Park City,UT,835,3.45233333,40.6460921,-111.4979963,success,"BELL TRUCK STOP, Park City, UT, USA"
1923,SCENIC QUIK STOP,"I-70, EXIT 54 & US-89",Salina,UT,835,3.459,38.957742,-111.859984,success,"SCENIC QUIK STOP, Salina, UT, USA"
1930,CASEYS #3058,"I-35, EXIT 19 & US-160 E",Wellington,KS,570,3.299,37.2678487,-97.4102609,success,"CASEYS #3058, Wellington, KS, USA"
1931,RBS ONE STOP,"I-15, EXIT 320",Woods Cross,UT,835,3.459,40.8745737,-111.9017264,success,"RBS ONE STOP, Woods Cross, UT, USA"
1934,CIRCLE K #2723710,"I-77, EXIT 24",Austinville,VA,185,3.24066666,36.8512342,-80.9120233,success,"CIRCLE K #2723710, Austinville, VA, USA"
1936,QUICK STOP MARKET #36,"I-81, EXIT 10 & US-11",Bristol,VA,185,3.399,36.5959685,-82.1885009,success,"QUICK STOP MARKET #36, Bristol, VA, USA"
1940,7-ELEVEN #40063,"I-81, EXIT 98 & SR-100",Dublin,VA,65,3.199,37.0829586,-80.6910846,success,"7-ELEVEN #40063, Dublin, VA, USA"
1944,LOVES TRAVEL STOPS #399,"I-77, EXIT 1 & SR-620",Lambsburg,VA,65,3.589,36.5854078,-80.7611817,success,"LOVES TRAVEL STOPS #399, Lambsburg, VA, USA"
1950,7-ELEVEN #34515,"I-81, EXIT 205",King George,VA,180,3.399,38.2635238,-77.1443253,success,"7-ELEVEN #34515, King George, VA, USA"
1951,CIRCLE K #2723713,"I-81, EXIT 205",Staunton,VA,185,3.38566666,38.1377618,-79.069653,success,"CIRCLE K #2723713, Staunton, VA, USA"
